Roll No	Name	Marks	
30685	SX1TGLKQ89YCX894CH	17
70050	00NKTUBVR5DRULQLYU	20
1176	70SNHO1C0QJAA8K8YE	6
54278	PYGSFAQXV7OGU3B306	95
6106	JMYLZY2MQAU1PHJKJV	82
18016	BCGMC87CX4SIGKT14N	85
28229	C89K6G3T11RLDH00HG	10
6818	QJ9FCJZCQYOPWTJ7K8	4
33307	8531MZHLYMWFN9QWHN	60
9939	VP9HR5UB0DP9M00DY0	80
14834	VFTS2DY3V11AKLURR5	24
51955	GLQ533WZUIQA1W8EAZ	58
56324	7OEDZ8HCQFKEW9QHW5	48
59355	AYEW6X2DGOP26S4OS1	71
75875	I484QBORB6C6STEKN4	34
68707	YRX2ZJPGKQGMEHIYX8	27
42666	WAKB7WRJUSJURQ3VQF	85
14525	ZNC4DHM6CHBP2P6ATS	31
65326	BC16VM7JVMMVX6I852	26
41086	PRW550BFUYA9NYRAB7	0
17331	B24QON9LE0GVW6B73C	74
57213	EEE2WTQJ0GWCEEVQH8	14
699	IELWBTYGQ2TIOX316S	45
54548	8IOVXVYZHX13SOQ5U0	5
31033	8D70IHPGNDSF1UH847	2
17956	6UOK400UM5PXU2ON52	80
79492	MPTZEON57AADUX57VR	90
78677	D2NEBNDLUR5WGYU0LF	36
47495	9C3OEHBYGR7B6XQFT7	67
76602	KZS0S3LMGO1NUWSE1D	7
49973	QMK79CTE6LR53GMRW3	30
17459	ND6UCQIOSLXIHT86R7	14
82330	VAEFZ4DKCP0UE5D64P	17
60172	GGBHQMBECO6AZ21SC7	25
15564	7XEGPGECTF6JYZEWSN	23
73763	S676R56MVG4KL9LLB4	15
92576	LD6NNKJUYL73DEQ15P	49
87527	W2W0JFC6A9EP2V2O4A	54
43609	YOR7U17Y3MFLXR501S	16
26299	JIONSJIBJQDAB488BT	65
13404	COYPVTIVMMRRBLGH6H	1
93018	LPG71HLD8BG49RZED6	89
82079	DT5HO6CPGXZGBI8KZR	32
20149	KGIVR4HA1U03AIDNK6	37
25311	C32TN2CWSMOHNHTLJR	88
96664	BOS0RHHPEUZKBBKNX9	70
2033	W1I4MLQFSG9BTGD3ZB	71
19626	YI0CEY8NP6EY5C3TGF	83
42768	CY5ETF6OK4PRL9ZO1S	72
94131	PY77SN4FWNL6SRKA0A	78
34805	MQSSHV39KD6ADK9S0K	79
65432	JZ47M2OBC8U8JLS0FA	64
46821	LR7JL0PWHNW7580MS0	37
12738	XI8NG5WZ166VJ23ORO	8
11780	3MUPA8VEHS2G5S1FMX	4
34332	4Y7Q5BLXV83LL2JESE	48
86279	JDP2M8IE97ZVOSE7M9	76
90875	4AZXNU6MUDQ6XDF524	71
28775	4VZP2AP9OPP4PXDZ5M	22
23416	QVI5ISJ200OM1X82JJ	39
19506	PQ3H1CTYP44GPZPYT0	11
92121	GQTJ1MMHEZKHL2UKIL	87
28795	WLANOINGMXD06X5BF3	69
